name,full_name,private,visibility,fork,stargazers,language,description,topics,private_score,public_score,recommendation,reasons,bun_version,has_ci
sovereign-swap,toxicwind/sovereign-swap,False,public,True,0,Go,"Reliable model swapping for any local OpenAI/Anthropic compatible server - llama.cpp, vllm, etc",,4.0,18.0,PUBLIC,contains 'server' (weight 4); contains 'open' (weight 8); fork (should be public),,False
strudel-sampler-server-vite,toxicwind/strudel-sampler-server-vite,False,public,False,0,Python,Strudel Sampler - Production Microservice,,4.0,0.0,CONSIDER_PRIVATE,contains 'server' (weight 4),,False
wii-meta-client,toxicwind/wii-meta-client,False,public,False,0,C++,"Unified Wii game/homebrew browser — Vimm's Lair, OSC, Archive.org, GameTDB",,3.0,4.0,CONSIDER_PUBLIC,contains 'archive' (weight 3); contains 'cli' (weight 4),,False
curl_cffi-toxicwind,toxicwind/curl_cffi-toxicwind,False,public,True,0,,Python binding for curl-impersonate fork via cffi. A http client that can impersonate browser tls/ja3/http2 fingerprints.,,3.0,14.0,PUBLIC,contains 'tls' (weight 3); contains 'cli' (weight 4); fork (should be public),,False
http-bench-toxicwind,toxicwind/http-bench-toxicwind,False,public,True,0,,"Performance benchmarks comparing Python HTTP libraries (aiohttp, httpx, pycurl, requests, urllib3). Metrics include throughput, total duration, and connection latency.",,2.0,10.0,PUBLIC,contains 'metrics' (weight 2); fork (should be public),,False
cg-noise,toxicwind/cg-noise,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-animatediff,toxicwind/comfyui-animatediff,False,public,True,0,,AnimateDiff for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-art-venture,toxicwind/comfyui-art-venture,False,public,True,1,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-ArtGallery,toxicwind/ComfyUI-ArtGallery,False,public,True,0,,Prompt Visualization | Art Gallery,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-AutomaticCFG,toxicwind/ComfyUI-AutomaticCFG,False,public,True,0,,If your image was a pizza and the CFG the temperature of your oven: this is a thermostat that ensures it is always cooked like you want. Also adds a 30% speed increase. For ComfyUI / StableDiffusion,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-BRIA_AI-RMBG,toxicwind/ComfyUI-BRIA_AI-RMBG,False,public,True,0,,Unofficial implementation of BRIA RMBG Model for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-CCSR,toxicwind/ComfyUI-CCSR,False,public,True,0,,ComfyUI wrapper node for CCSR ,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Custom-Nodes,toxicwind/ComfyUI-Custom-Nodes,False,public,True,0,,Custom nodes for ComfyUI.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Custom-Scripts,toxicwind/ComfyUI-Custom-Scripts,False,public,True,0,,"Enhancements & experiments for ComfyUI, mostly focusing on UI features",,0.0,13.0,PUBLIC,contains 'ui' (weight 3); fork (should be public),,False
ComfyUI-DARE-LoRA-Merge,toxicwind/ComfyUI-DARE-LoRA-Merge,False,public,True,0,,Uses DARE to merge LoRA stacks as a ComfyUI node,,0.0,10.0,PUBLIC,fork (should be public),,False
cg-image-picker,toxicwind/cg-image-picker,False,public,True,0,JavaScript,,,0.0,10.0,PUBLIC,fork (should be public),,False
codex,toxicwind/codex,False,public,True,0,Rust,Lightweight coding agent that runs in your terminal,,0.0,10.0,PUBLIC,fork (should be public),,False
cg-use-everywhere,toxicwind/cg-use-everywhere,False,public,True,0,JavaScript,,,0.0,10.0,PUBLIC,fork (should be public),,False
codex-patcher-updater,toxicwind/codex-patcher-updater,False,public,False,0,Rust,,,0.0,0.0,NEUTRAL,,,False
Comfy-Topaz,toxicwind/Comfy-Topaz,False,public,True,0,Python,Topaz Photo AI integration for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Advanced-ControlNet,toxicwind/ComfyUI-Advanced-ControlNet,False,public,True,0,,ControlNet scheduling and masking nodes with sliding context support,,0.0,10.0,PUBLIC,fork (should be public),,False
CodeShift,toxicwind/CodeShift,False,public,True,0,Python,"Multi-agent system that migrates a codebase between languages while preserving behavior, verifying each module by running the original and the translation on identical generated inputs. Python to TypeScript, on a local LLM.",,0.0,14.0,PUBLIC,contains 'module' (weight 4); fork (should be public),,False
blibla-comfyui-extensions,toxicwind/blibla-comfyui-extensions,False,public,True,0,,Extensions for ComfyUI,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
bashrc-quote-fix,toxicwind/bashrc-quote-fix,False,public,False,0,,Auto-fix nested quote errors in bash shell,,0.0,0.0,NEUTRAL,,,False
awesome-api-shape-explorer,toxicwind/awesome-api-shape-explorer,False,public,False,0,Python,Awesome Api Shape Explorer — Python 3.8+ toolkit,,0.0,4.0,CONSIDER_PUBLIC,contains 'tool' (weight 4),,False
additional-lens-profiles,toxicwind/additional-lens-profiles,False,public,False,0,Python,Additional lens profiles for multi-perspective analysis and OSINT tooling,,0.0,4.0,CONSIDER_PUBLIC,contains 'tool' (weight 4),,False
awesome-agent-gateway-2026,toxicwind/awesome-agent-gateway-2026,False,public,False,0,,"A curated list of agent gateway frameworks, SDKs, and tools for 2026",,0.0,15.0,PUBLIC,contains 'sdk' (weight 7); contains 'tool' (weight 4); contains 'tools' (weight 4),,False
AnimeBoya,toxicwind/AnimeBoya,False,public,True,0,,Anime streaming and downloading android application developed by Tu2l by using Jsoup and other open source libraries,,0.0,18.0,PUBLIC,contains 'open' (weight 8); fork (should be public),,False
a-person-mask-generator,toxicwind/a-person-mask-generator,False,public,True,0,Python,Extension for Automatic1111 and ComfyUI to automatically create masks for Background/Hair/Body/Face/Clothes in Img2Img,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
agent-chat-ui,toxicwind/agent-chat-ui,False,public,True,0,,🦜💬 Web app for interacting with any LangGraph agent (PY & TS) via a chat interface.,,0.0,13.0,PUBLIC,contains 'ui' (weight 3); fork (should be public),,False
ComfyUI-Impact-Pack,toxicwind/ComfyUI-Impact-Pack,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-ImageReward,toxicwind/ComfyUI-ImageReward,False,public,True,0,,ImageReward nodes for ComfyUI.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Image-Selector,toxicwind/ComfyUI-Image-Selector,False,public,True,0,,Select one or some of images from a batch,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Image-Saver,toxicwind/ComfyUI-Image-Saver,False,public,True,0,Python,"Allows you to save images with their generation metadata in ComfyUI. Compatible with Civitai. Works with png, jpeg and webp.",,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Hangover-Nodes,toxicwind/ComfyUI-Hangover-Nodes,False,public,True,0,,Various nodes for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-KJNodes,toxicwind/ComfyUI-KJNodes,False,public,True,0,,Various custom nodes for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-JNodes,toxicwind/ComfyUI-JNodes,False,public,True,0,JavaScript,python and web UX improvements for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Impact-Subpack,toxicwind/ComfyUI-Impact-Subpack,False,public,True,0,,"This extension serves as a complement to the Impact Pack, offering features that are not deemed suitable for inclusion by default in the ComfyUI Impact Pack",,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
ComfyUI-Llama,toxicwind/ComfyUI-Llama,False,public,True,0,,Bridging wrapper for llama-cpp-python within ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Manager,toxicwind/ComfyUI-Manager,False,public,True,0,JavaScript,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Model-Manager,toxicwind/ComfyUI-Model-Manager,False,public,True,0,JavaScript,"Manage models: browsing, donwload and delete.",,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Moore-AnimateAnyone,toxicwind/ComfyUI-Moore-AnimateAnyone,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-nodes-docs,toxicwind/comfyui-nodes-docs,False,public,True,0,JavaScript,"comfyui节点文档插件,enjoy~~",,0.0,17.0,PUBLIC,contains 'docs' (weight 7); fork (should be public),,False
ComfyUI-paint-by-example,toxicwind/ComfyUI-paint-by-example,False,public,True,0,,,,0.0,17.0,PUBLIC,contains 'example' (weight 7); fork (should be public),,False
ComfyUI-Inspire-Pack,toxicwind/ComfyUI-Inspire-Pack,False,public,True,0,,This repository offers various extension nodes for ComfyUI. Nodes here have different characteristics compared to those in the ComfyUI Impact Pack. The Impact Pack has become too large now...,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
comfyui-inpaint-nodes,toxicwind/comfyui-inpaint-nodes,False,public,True,0,Python,"Nodes for better inpainting with ComfyUI: Fooocus inpaint model for SDXL, LaMa, MAT, and various other tools for pre-filling inpaint & outpaint areas.",,0.0,18.0,PUBLIC,contains 'tool' (weight 4); contains 'tools' (weight 4); fork (should be public),,False
comfyui-portrait-master,toxicwind/comfyui-portrait-master,False,public,True,0,,This node was designed to help AI image creators to generate prompts for human portraits.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-PickScore-Nodes,toxicwind/ComfyUI-PickScore-Nodes,False,public,True,0,,PickScore nodes for ComfyUI.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-post-processing-nodes,toxicwind/ComfyUI-post-processing-nodes,False,public,True,0,,"A collection of Post Processing Nodes for ComfyUI, which enable a variety of cool image effects",,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-previewlatent,toxicwind/comfyui-previewlatent,False,public,True,0,,ComfyUI plugin for previewing latents without vae decoding,,0.0,16.0,PUBLIC,contains 'plugin' (weight 6); fork (should be public),,False
comfyui-PromptAttention,toxicwind/comfyui-PromptAttention,False,public,True,0,Python,Directional Prompt Attention for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-QualityOfLifeSuit_Omar92,toxicwind/ComfyUI-QualityOfLifeSuit_Omar92,False,public,True,0,,extra nodes to be used in comfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-prompt-control,toxicwind/comfyui-prompt-control,False,public,True,0,,ComfyUI nodes for prompt editing and LoRA control,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-prompt-reader-node,toxicwind/comfyui-prompt-reader-node,False,public,True,0,,The ultimate solution for managing image metadata and multi-tool compatibility. ComfyUI node version of the SD Prompt Reader,,0.0,14.0,PUBLIC,contains 'tool' (weight 4); fork (should be public),,False
comfyui-reactor-node,toxicwind/comfyui-reactor-node,False,public,True,0,Python,Fast and Simple Face Swap Extension Node for ComfyUI,,0.0,18.0,PUBLIC,contains 'extension' (weight 5); contains 'react' (weight 3); fork (should be public),,False
ComfyUI-RAVE,toxicwind/ComfyUI-RAVE,False,public,True,0,,ComfyUI implementation of RAVE https://rave-video.github.io/,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-SaveImageWithMetaData,toxicwind/ComfyUI-SaveImageWithMetaData,False,public,True,0,,Custom node for ComfyUI. Add a node to save images with metadata (PNGInfo) extracted from the input values of each node.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-sampler-lcm-alternative,toxicwind/ComfyUI-sampler-lcm-alternative,False,public,True,0,,ComfyUI Custom Sampler nodes that adds a new improved LCM sampler function,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-SegMoE,toxicwind/ComfyUI-SegMoE,False,public,True,0,,Unofficial implementation of SegMoE for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-SeqImageLoader,toxicwind/ComfyUI-SeqImageLoader,False,public,True,0,,Extension for Sequential Image Inpainting Available in ComfyUI,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
ComfyUI-LCM,toxicwind/ComfyUI-LCM,False,public,True,0,,Latent Consistency Model for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-IPAnimate,toxicwind/ComfyUI-IPAnimate,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-TTools,toxicwind/ComfyUI-TTools,False,public,False,1,Python,,,0.0,0.0,NEUTRAL,,,False
ComfyUI-TeaNodes,toxicwind/ComfyUI-TeaNodes,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-ultralytics-yolo,toxicwind/comfyui-ultralytics-yolo,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-WD14-Tagger,toxicwind/ComfyUI-WD14-Tagger,False,public,True,0,,A ComfyUI extension allowing for the interrogation of booru tags from images.,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
ComfyUI-YoloWorld-EfficientSAM,toxicwind/ComfyUI-YoloWorld-EfficientSAM,False,public,True,0,,Unofficial implementation of  YOLO-World + EfficientSAM for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_3dPoseEditor,toxicwind/ComfyUI_3dPoseEditor,False,public,True,0,JavaScript,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_ADV_CLIP_emb,toxicwind/ComfyUI_ADV_CLIP_emb,False,public,True,0,Python,ComfyUI node that let you pick the way in which prompt weights are interpreted,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Comfyroll_CustomNodes,toxicwind/ComfyUI_Comfyroll_CustomNodes,False,public,True,0,Python,"Custom nodes for SDXL and SD1.5 including Multi-ControlNet, LoRA, Aspect Ratio, Process Switches, and many more nodes.",,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui_controlnet_aux,toxicwind/comfyui_controlnet_aux,False,public,True,0,Python,ComfyUI's ControlNet Auxiliary Preprocessors,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Custom_Nodes_AlekPet,toxicwind/ComfyUI_Custom_Nodes_AlekPet,False,public,True,0,JavaScript,Custom nodes that extend the capabilities of Comfyui,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Cutoff,toxicwind/ComfyUI_Cutoff,False,public,True,0,Python,cutoff implementation for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Dave_CustomNode,toxicwind/ComfyUI_Dave_CustomNode,False,public,True,0,JavaScript,,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui_easy_padding,toxicwind/comfyui_easy_padding,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_essentials,toxicwind/ComfyUI_essentials,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_experiments,toxicwind/ComfyUI_experiments,False,public,True,0,Python,Some experimental custom nodes.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_fabric,toxicwind/ComfyUI_fabric,False,public,True,0,Jupyter Notebook,"ComfyUI nodes based on the paper ""FABRIC: Personalizing Diffusion Models with Iterative Feedback"" (Feedback via Attention-Based Reference Image Conditioning)",,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_FizzNodes,toxicwind/ComfyUI_FizzNodes,False,public,True,0,Python,Custom Nodes for Comfyui,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-DDColor,toxicwind/ComfyUI-DDColor,False,public,True,0,,ComfyUI node for DDColor ,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-deepcache,toxicwind/ComfyUI-deepcache,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-dynamicprompts,toxicwind/comfyui-dynamicprompts,False,public,True,0,Python,ComfyUI custom nodes for Dynamic Prompts,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Embedding_Picker,toxicwind/ComfyUI-Embedding_Picker,False,public,True,0,,Embedding handling node for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-FBCNN,toxicwind/ComfyUI-FBCNN,False,public,True,0,,JPEG artifacts removal using FBCNN model ported to ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
comfyui-fitsize,toxicwind/comfyui-fitsize,False,public,True,0,,A simple set of nodes for making an image fit within a bounding box in comfyui,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Flowty-LDSR,toxicwind/ComfyUI-Flowty-LDSR,False,public,True,0,,LDSR custom node for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-Gemini,toxicwind/ComfyUI-Gemini,False,public,True,0,,Using Gemini in ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI-GlifNodes,toxicwind/ComfyUI-GlifNodes,False,public,True,0,,custom plugins for comfyUI,,0.0,16.0,PUBLIC,contains 'plugin' (weight 6); fork (should be public),,False
ComfyUI-Hangover-Moondream,toxicwind/ComfyUI-Hangover-Moondream,False,public,True,0,,Moondream is a lightweight multimodal large language model,,0.0,10.0,PUBLIC,fork (should be public),,False
Boundless,toxicwind/Boundless,False,public,False,0,Python,,,0.0,0.0,NEUTRAL,,,False
catcoin,toxicwind/catcoin,False,public,True,0,TypeScript,,,0.0,10.0,PUBLIC,fork (should be public),,False
cd-tuner_negpip-ComfyUI,toxicwind/cd-tuner_negpip-ComfyUI,False,public,True,0,Python,cd-tunerとnegpipのComfyUI拡張,,0.0,10.0,PUBLIC,fork (should be public),,False
antigravity-linux,toxicwind/antigravity-linux,False,public,True,0,Shell, Shell script to install Google Antigravity to Arch-based distros.,,0.0,10.0,PUBLIC,fork (should be public),,False
arxiv-code,toxicwind/arxiv-code,False,public,False,0,Python,,,0.0,0.0,NEUTRAL,,,False
ComfyUI_UltimateSDUpscale,toxicwind/ComfyUI_UltimateSDUpscale,False,public,True,0,,ComfyUI nodes for the Ultimate Stable Diffusion Upscale script by Coyote-A.,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_tinyterraNodes,toxicwind/ComfyUI_tinyterraNodes,False,public,True,0,Python,A selection of nodes for Stable Diffusion ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_TiledKSampler,toxicwind/ComfyUI_TiledKSampler,False,public,True,0,,Tiled samplers for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_StreamDiffusion,toxicwind/ComfyUI_StreamDiffusion,False,public,True,0,Python,This is a simple implemention StreamDiffusion for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Seg_VITON,toxicwind/ComfyUI_Seg_VITON,False,public,True,0,,comfyui-模特换装(Model dress up),,0.0,10.0,PUBLIC,fork (should be public),,False
Comfyui_segformer_b2_clothes,toxicwind/Comfyui_segformer_b2_clothes,False,public,True,0,Python,SegFormer model fine-tuned on ATR dataset for clothes segmentation but can also be used for human segmentation,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_SeeCoder,toxicwind/ComfyUI_SeeCoder,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_ResolutionSelector,toxicwind/ComfyUI_ResolutionSelector,False,public,True,0,Python,A custom node for Stable Diffusion ComfyUI to enable easy selection of image resolutions for SDXL SD15 SD21,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_PerpWeight,toxicwind/ComfyUI_PerpWeight,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Noise,toxicwind/ComfyUI_Noise,False,public,True,0,Python,"6 nodes for ComfyUI that allows for more control and flexibility over noise to do e.g. variations or ""un-sampling""",,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUi_NNLatentUpscale,toxicwind/ComfyUi_NNLatentUpscale,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
Comfyui_joytag,toxicwind/Comfyui_joytag,False,public,True,0,Python,"JoyTag is a state of the art AI vision model for tagging images, with a focus on sex positivity and inclusivity. It uses the Danbooru tagging schema, but works across a wide range of images, from hand drawn to photographic.",,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_Jags_VectorMagic,toxicwind/ComfyUI_Jags_VectorMagic,False,public,True,0,Python,a collection of nodes to explore Vector and image manipulation,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_IPAdapter_plus,toxicwind/ComfyUI_IPAdapter_plus,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
ComfyUI_InstantID,toxicwind/ComfyUI_InstantID,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
comfy_PoP,toxicwind/comfy_PoP,False,public,True,0,Python,"input aspect ratio, output dimensions",,0.0,10.0,PUBLIC,fork (should be public),,False
entropy-gpu,toxicwind/entropy-gpu,False,public,False,0,,,,0.0,0.0,NEUTRAL,,,False
ethereum-powerball,toxicwind/ethereum-powerball,False,public,True,0,Python,"""Powerball""-style lottery written in Serpent, for prophetx's bounty.",,0.0,10.0,PUBLIC,fork (should be public),,False
facerestore_cf,toxicwind/facerestore_cf,False,public,True,0,Python,ComfyUI Custom node that supports face restore models and supports CodeFormer Fidelity parameter,,0.0,10.0,PUBLIC,fork (should be public),,False
EtherRoulette,toxicwind/EtherRoulette,False,public,True,0,JavaScript,Chance game on Ethereum network,,0.0,10.0,PUBLIC,fork (should be public),,False
feedie,toxicwind/feedie,False,public,True,0,Python,IRC Bot to announce RSS FEEDS,,0.0,10.0,PUBLIC,fork (should be public),,False
flashinfer,toxicwind/flashinfer,False,public,True,0,Cuda,FlashInfer: Kernel Library for LLM Serving,,0.0,17.0,PUBLIC,contains 'library' (weight 7); fork (should be public),,False
frame-interpolation,toxicwind/frame-interpolation,False,public,True,0,,"FILM: Frame Interpolation for Large Motion, In ECCV 2022.",,0.0,10.0,PUBLIC,fork (should be public),,False
